股票代码,报表日期,货币资金,交易性金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,其他应收款(合计),应收利息,应收股利,其他应收款,买入返售金融资产,存货,划分为持有待售的资产,一年内到期的非流动资产,待摊费用,待处理流动资产损益,其他流动资产,流动资产合计,发放贷款及垫款,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,在建工程(合计),在建工程,工程物资,固定资产及清理(合计),固定资产净额,固定资产清理,生产性生物资产,公益性生物资产,油气资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,交易性金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,应付手续费及佣金,应付职工薪酬,应交税费,其他应付款(合计),应付利息,应付股利,其他应付款,预提费用,一年内的递延收益,应付短期债券,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,租赁负债,长期应付职工薪酬,长期应付款(合计),长期应付款,专项应付款,预计非流动负债,递延所得税负债,长期递延收益,其他非流动负债,非流动负债合计,负债合计,实收资本(或股本),资本公积,减：库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未分配利润,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,一、营业总收入,营业收入,二、营业总成本,营业成本,营业税金及附加,销售费用,管理费用,财务费用,研发费用,资产减值损失,公允价值变动收益,投资收益,其中:对联营企业和合营企业的投资收益,汇兑收益,三、营业利润,加:营业外收入,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,归属于母公司所有者的净利润,少数股东损益,基本每股收益(元/股),稀释每股收益(元/股),七、其他综合收益,八、综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资所收到的现金,取得投资收益所收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,取得子公司及其他营业单位支付的现金净额,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加:期初现金及现金等价物余额,六、期末现金及现金等价物余额,净利润,未确认的投资损失,资产减值准备,固定资产折旧、油气资产折耗、生产性物资折旧,无形资产摊销,长期待摊费用摊销,待摊费用的减少,预提费用的增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,递延收益增加（减：减少）,预计负债,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,已完工尚未结算款的减少(减:增加),已结算尚未完工款的增加(减:减少),其他,经营活动产生现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,现金及现金等价物的净增加额
600550,2021/12/31,1189474295,0,0,1518828924,119605945.2,1399222979,97535834.87,115304254.7,26655880.58,76332.77,0,26579547.81,0,750032053,0,78706724.37,0,0,23128590.32,3902326099,0,0,0,0,26810572.12,24078021.46,25732709.32,25732709.32,0,1103186872,1103186872,0,0,0,0,4811652.08,335749907.6,26661813.94,0,7783862.51,45425346.07,247436714.8,1849143324,5751469424,1.06E+09,0,2003008221,364326132.5,1638682089,0,0,25600471.75,55851263.36,219064841.7,0,279483.06,218785358.7,0,0,0,802993.67,39413393.53,3701733419,1.19E+09,0,3999560.25,0,0,0,0,0,1553300.77,47085662.89,0,1237638524,4939371943,1841528480,3985650278,0,-29180226.89,55651624.03,325620954.5,0,-5482122793,697148316.8,114949164,812097480.8,5751469424,4139509092,4139509092,4075277515,3407672352,33524981.8,177520660.6,197147670.1,92038559.09,167373291.3,0,0,-3743234.4,-1839069.09,0,65701875.29,4370352.43,10019696.13,0,60052531.59,2812868.75,57239662.84,43409473.69,13830189.15,0.024,0.024,-5276017.94,51963644.9,38640776.12,13322868.78,3891823562,23903971.15,188925812.1,4104653345,2852732756,540623082.4,159478815.3,270710846.2,3823545500,281107844.6,0,0,21313309.69,0,0,21313309.69,37733971.91,0,0,0,37733971.91,-16420662.22,0,0,3252640000,0,0,3252640000,3409082750,87405572.54,0,4937833.24,3501426156,-248786155.8,-1849033.59,14051993.05,963829328.1,977881321.2,57239662.84,0,51607956.76,124216360.9,50865767.48,2207853.05,0,0,-11336086.08,-482602.15,0,0,0,3743234.4,-2631166.73,-601760.72,176780162.2,-244468614.4,4710336.69,0,0,0,281107844.6,0,0,0,977881321.2,963829328.1,0,0,14051993.05
600550,2020/12/31,1188866987,0,0,1036135803,19246720,1016889083,145040229.7,289362868,43317378.84,100250.01,0,43217128.83,0,826263353.4,0,47807728.36,0,0,46546190.72,3675113308,0,0,0,0,28804454.62,25741794.5,10899823.25,10899823.25,0,1209733034,1209733034,0,0,0,0,0,387032760,17521913.48,0,9991715.56,42794179.34,231728689.8,1965917031,5641030338,1.41E+09,0,1909564432,415660688.6,1493903743,0,0,24843192.37,37743813.32,98939877.52,0,539483.06,98400394.46,0,0,0,32744250,34082971.86,3827900461,9.85E+08,0,0,0,0,0,0,0,2155061.49,68718072.78,0,1055873134,4883773595,1841528480,3945607816,0,-231733864.5,48395608.21,325620954.5,0,-5318209931,611209062.5,146047680.6,757256743.1,5641030338,4084568683,4084568683,3967129790,3333465156,40563411.05,143244598.6,183240263,132626141.8,133990220,0,0,-2697900.11,-1775698.63,0,14755701.46,24359677.26,8373859.39,0,30741519.33,5744506.32,24997013.01,21126296.81,3870716.2,0.011,0.011,-48377455.04,-23380442.03,-25798685.86,2418243.83,4044966387,3680830.9,223986458.7,4272633677,2586233484,476468489.5,234151431.2,271158658.2,3568012063,704621613.4,17156804.94,0,3403036,0,0,20559840.94,28438992.13,0,0,0,28438992.13,-7879151.19,0,0,6572664192,0,8383392.75,6581047585,7218278348,129169464.7,0,14359001.17,7361806814,-780759229.1,-3287795.65,-87304562.55,1051133891,963829328.1,24997013.01,0,183443440.6,130663341.2,56838870.99,2638207.13,0,0,-3375153.47,555193.78,0,0,0,2697900.11,457846.65,-672438.65,-31243814.09,663136606.8,-422587103.6,0,0,0,704621613.4,0,0,0,963829328.1,1051133891,0,0,-87304562.55
600550,2019/12/31,1278300754,0,0,1950194682,66111229.01,1884083453,131083538.5,472531913.4,56656609.65,69313.33,0,56587296.32,0,888815149.6,0,0,0,0,19501091.75,4797083739,0,0,0,0,30629169.14,20596971.3,3401175.17,3401175.17,0,1336308933,1336308933,0,0,0,0,0,435189495.1,13845673.6,0,11985962.36,41992359.22,14194360.63,1943665498,6740749237,2057202693,0,1709945937,227645604.6,1482300333,867535930.4,0,34538673.06,32487820.5,124501164.8,0,3495746.74,121005418.1,0,0,0,158673833.1,0,4984886053,8.85E+08,0,0,0,0,0,0,0,2827500.14,84781846.46,0,972609346.6,5957495399,1841528480,3944411086,0,-184808881.9,44343360.11,325620954.5,0,-5336134657,634960341,148293496.9,783253838,6740749237,3517765339,3517765339,3538471846,2849668519,43239257.77,169459014.3,199198860.3,148361628.3,128544566.5,0,0,1453859.05,1165434.58,0,1763641.81,42725667.42,2594452.18,0,41894857.05,24631010.03,17263847.02,15207662.89,2056184.13,0.008,0.008,-173467185.7,-156203338.6,-158256420.4,2053081.76,4084016416,2369087.35,197998103.6,4284383607,3076965988,472572693.1,226567745.2,246462340,4022568766,261814840.1,118740165,39495.75,10656172.16,0,704228.37,130140061.3,77086996.48,0,25404335.42,38115707.19,140607039.1,-10466977.79,0,0,7711608605,0,43761771.29,7755370376,7943470743,150343181.4,4601379.43,63331653.14,8157145578,-401775201.8,477179.3,-149950160.1,1201084051,1051133891,17263847.02,0,4998584.95,140517538.1,57292837.08,2850409.2,0,0,-157268.01,1088339.55,0,0,0,-1453859.05,20161822.34,-686853.51,18646938.42,-127145054.8,9171299.5,0,0,-35630213.91,261814840.1,0,0,0,1051133891,1201084051,0,0,-149950160.1
600550,2018/12/31,1462744856,0,0,2017888997,192860900.7,1825028096,0,195779902.3,194158665.7,162618.19,3339495.75,190656551.7,0,1053515808,0,0,0,0,44928592.79,4969016822,0,209170950.8,0,0,93570122.49,21659530.79,48888884.77,48888884.77,0,1392675882,1392675882,0,0,0,0,0,453729105.3,3843171.12,0,10258448.34,62449914.7,13269403.89,2309515414,7278532236,3227420077,0,2004955732,656398812.1,1348556920,407014271.8,0,34256166.59,45277616.1,100351770.1,0,4312373.84,96039396.29,0,0,0,204820789.2,2774727.74,6026871150,133041250,0,0,0,29133851.21,29133851.21,0,3282800,0,112091736.6,0,277549637.8,6304420788,1841528480,3944406602,0,-11344798.57,38700219.59,325620954.5,0,-5351342320,787569137.3,186542310,974111447.3,7278532236,3186847123,3186847123,4009085116,2801701903,30094855.68,131296521.1,220049747.7,227695816.9,120315045.4,477931226.9,0,-32089446.59,-32089446.59,0,-840804014.3,7263824.58,4390196.5,0,-837930386.2,2091121.83,-840021508.1,-816508326.9,-23513181.15,-0.491,-0.491,-9210806.54,-849232314.6,-824797279.6,-24435035.03,3449312739,921403.93,334531520,3784765663,2298667165,476389814.8,245229038.1,278516231,3298802249,485963414.6,650000,0,17469495,0,16226474.79,34345969.79,43594383.78,0,0,0,43594383.78,-9248413.99,1110393943,0,7610970835,0,0,8721364778,8947868951,212711934.7,0,130257173.5,9290838060,-569473281.5,-2860236.1,-95618516.94,1296702568,1201084051,-840021508.1,0,477931226.9,146707175.6,57639196.55,1979310.7,0,0,-426516.45,290399.24,0,0,0,32089446.59,-8740291.51,0,163985529.7,942563515.4,-726972487.5,0,0,0,485963414.6,0,0,0,1201084051,1296702568,0,0,-95618516.94
600550,2017/12/31,1672716085,0,0,2538042668,103617085.8,2434425583,0,517242412.1,81850600.32,601555.81,3339495.75,77909548.76,0,1377196129,0,0,0,0,20118896.42,6207166791,0,611649712.6,0,0,125659569.1,21584035.49,104505820,104505820,0,1446984490,1446984490,0,0,0,0,0,495362795.6,12328450.04,0,8513731.39,53709623.19,3701179.7,2883999407,9091166198,4216822399,0,2222841806,568054089.5,1654787716,771160810.1,0,36929051.12,140645966.3,86398966.18,940038.67,4438725.84,81020201.67,0,0,0,269645273.6,145299.15,7744589571,4.10E+08,0,0,0,72743207.25,72743207.25,0,0,0,153876982.3,0,636620189.5,8381209760,1534607067,3144923140,0,-3055845.91,31657357.82,325620954.5,0,-4534833993,498918680.4,211037757.6,709956438,9091166198,4367977206,4367977206,4529283767,3510129216,49744666.12,130361211.9,332451275.6,276207521.2,0,230389876.4,0,186277689.7,15836530.11,0,46403125.31,28522652.16,453993.43,0,74471784.04,2851981.15,71619802.89,80918402.31,-9298599.42,0.053,0.053,-2839301.87,68780501.02,78301076.58,-9520575.56,4639760774,2387062.87,287455374.6,4929603211,3437252396,467974613.5,312559018.4,374675639.2,4592461667,337141544.1,1243090.52,1300000,89290366.2,197999023.1,35233662.41,325066142.2,200598093,0,0,5314216.5,205912309.5,119153832.7,467100,467100,9848587691,0,9125045.96,9858179837,10409931939,241356067,4311124.62,162116830.2,10813404836,-955224999.6,-16786694.91,-515716317.7,1812418885,1296702568,71619802.89,0,230389876.4,141208466.5,57977636.24,1267501.04,0,0,1347167.59,0,0,0,0,-186277689.7,-4008738.03,0,-441467665.9,475235887.4,-295422018.4,0,0,0,337141544.1,0,0,0,1296702568,1812418885,0,0,-515716317.7
600550,2016/12/31,2354058872,0,0,2908737042,18648826.01,2890088216,0,385732540.6,62616832.58,1318504.49,3339495.75,57958832.34,0,1059388347,0,0,0,0,9636434.58,6780170068,0,660294237.9,0,0,113723039,22539169.37,308153168.1,308153168.1,0,1082652498,1082652498,0,0,0,0,0,565659655.8,9610471.75,13052774.93,4706785.66,49700885.16,42002216.3,2872094902,9652264971,5084197590,0,1693010310,429185712.4,1263824597,1575566866,0,45113303.5,103206872.2,84618748.07,940038.73,7238725.84,76439983.5,0,0,0,118797345.9,2552179.48,8707063215,1.15E+08,32532254.47,0,0,62615842.64,62615842.64,0,22756392.7,0,78191911.37,0,311096401.2,9018159616,1534607067,3144923140,0,-438520.18,24604869.06,325620954.5,0,-4615752396,413565115.1,220540239.4,634105354.5,9652264971,4068435951,4068435951,4056730546,3105884196,42400605.7,183932962.3,319305036.2,253901028.3,0,151306716.8,0,13107219.36,13107219.36,0,24812624.44,95005837.39,4515325.96,980245.98,115303135.9,5630862.25,109672273.6,109128086.2,544187.45,0.071,0.071,6339306.93,116011580.6,114832356.6,1179223.97,4669483873,617569.09,201712746.4,4871814189,3072803489,459873702,299530462.7,529664051.5,4361871705,509942483.6,9406665.68,36960,101820367.5,0,66974156.71,178238149.8,213550061.8,2253133.99,0,60770873.95,276574069.8,-98335919.94,0,0,7894197590,0,0,7894197590,7229159768,291067574.6,4800000,131858566.3,7652085909,242111681.4,4372887.16,658091132.3,1154327753,1812418885,109672273.6,0,151306716.8,128440922.9,61198470.63,1368084.02,0,0,445354.43,0,0,0,0,-13107219.36,-5593698.66,-378218.46,287027413.4,-1125997833,648880272.6,0,0,0,509942483.6,0,0,0,1812418885,1154327753,0,0,658091132.3
600550,2015/12/31,1420366668,0,0,0,29598825,2052864776,0,321977809.7,0,738612.13,0,180084652.7,0,1279515369,0,0,0,0,4047680.8,5289194394,0,691651143.2,0,0,105905315.4,23494303.25,0,170448057,0,0,1068177070,0,0,0,0,0,612891963.1,18397640.19,13052774.93,5543561.29,44107186.5,0,2753669014,8042863408,2821657483,0,0,250127490.5,1192714204,589064311.3,0,70232373.06,63667108.05,0,42597260.31,9538725.84,78236475.2,0,0,0,325165239,0,5443000670,1.20E+08,1591974229,0,0,0,78466910.24,0,210197678.7,378218.46,84139965.44,0,2085157001,7528157672,1534607067,3154112281,0,-6142790.59,16978027.14,325620954.5,0,-4724880482,300295057.2,214410679.4,514705736.6,8042863408,4027432993,4027432993,4701201113,3300144858,22096002.27,169984624.8,338274390.5,287897680.6,0,582803557.4,0,747255648.1,887654.93,0,73487527.62,26894434.5,4701435.62,2102530.13,95680526.5,3321665.56,92358860.94,90651145.77,1707715.17,0.059,0.059,-1604458.27,90754402.67,88548180.89,2206221.78,4161746575,9534629.05,152837932.1,4324119136,3073972434,455163231.9,195087969.6,446631598.8,4170855234,153263901.5,264305584,2552549.33,276683836,0,0,543541969.3,162827577.6,0,1.00E+05,0,162927577.6,380614391.8,0,0,4053297675,0,0,4053297675,4260654507,295345278.2,1896000,99223351.86,4655223137,-601925461.7,6014238.75,-62032929.62,1216360683,1154327753,92358860.94,0,582803557.4,132892628.1,60903227.98,993440.47,0,0,1832737.63,0,0,0,0,-747255648.1,-4948891.95,378218.46,-29483419.27,-294183423.2,40053557.55,0,0,0,153263901.5,0,0,0,1154327753,1216360683,0,0,-62032929.62
600550,2014/12/31,1366355203,0,0,0,64359315.83,1649187349,0,343294473.9,0,533012.43,0,233194347,0,1437217735,0,0,0,0,18325419.02,5112466855,0,5944589.3,0,0,1418306096,24449437.13,0,133280940.5,0,0,1134619420,0,0,0,0,0,664675452.8,15601231.55,13052774.93,6063565.85,39158294.55,1386823.02,3456538626,8569005481,1.85E+09,0,0,183767736.9,954788190.1,746960494.4,0,46004679.76,19523603.36,0,42597260.31,4650234.3,295175953.4,0,0,0,8.05E+08,0,4943468153,5.45E+08,1589102643,0,0,0,0,0,292186985.1,0,66135032.73,0,2492424661,7435892813,1534607067,3858063495,0,-4039825.71,15980699.94,325620954.5,0,-4815531628,914700763,218411904.5,1133112668,8569005481,3895042664,3895042664,3907411399,3060178272,11881543.44,162843814.1,289843543.4,335305067.7,0,47359158.81,-74195000,108873430.4,-82329267.9,0,22309695.36,64901996.13,1911325.11,115087.95,85300366.38,9104088.13,76196278.25,67707840.84,8488437.41,0.049,0,-9582753.51,66613524.74,64136897.8,2476626.94,4791300662,69922497.85,140306655.8,5001529816,3401753438,409923548.6,121869573.8,439465917.7,4373012478,628517338.3,498817791.6,16952080.94,426348,0,16927.02,516213147.5,34574829.93,0,34050000,0,68624829.93,447588317.6,791599997,0,3.12E+09,0,0,3913599997,4975746866,357645672.5,2240000,4142659.6,5337535198,-1423935201,-2031862.45,-349861407.4,1566222090,1216360683,76196278.25,0,47359158.81,132220691.9,60771125.87,2023650.24,0,0,-9722566.65,0,74195000,0,0,-108873430.4,9821930.83,-11129250,408037832,88817412.33,-482137040.8,0,0,0,628517338.3,0,0,0,1216360683,1566222090,0,0,-349861407.4
600550,2013/12/31,1587648329,109820000,0,0,30968202.18,2036733753,0,511058674.2,0,0,0,52426268.26,0,1742350434,0,0,0,0,0,6071005661,0,0,0,0,1678523958,25404571.01,0,137044241,0,0,1222691556,0,0,0,0,0,721930574.5,0,13052774.93,8541745.83,48980225.38,0,3856169647,9927175308,3295521581,0,0,475241251.8,998195841.3,901382838.7,0,44055524.04,-159169102.3,0,42597260.31,4650234.3,123090813.6,0,0,0,1.05E+08,630000,5831196243,1.65E+09,1586392827,0,0,0,0,0,483516000,11129250,0,84410105.68,3815448182,9646644425,1372990906,3230349160,0,0,16204578.24,325620954.5,0,-4881319024,63377692.57,217153190.5,280530883.1,9927175308,4358993719,4358993719,9855516441,4004107654,20393710.82,221489065.6,476128608.1,434675022,0,4698722380,-35915000,155768757.6,-441727453.7,0,-5376668965,52956284.32,499000248.7,1740861.02,-5822712929,-5440195.53,-5817272733,-5233347042,-583925691.8,-3.81,-3.81,8818.79,-5817263915,-5233338664,-583925250.9,5082940629,19365608.56,104044184.8,5206350423,3612762683,462440977,188301217,264413362.1,4527918239,678432183.8,101537766.3,31210157.53,287221,36292397.93,0,169327542.8,95464836.44,190835000,1.10E+08,0,396299836.4,-226972293.6,0,0,4464919358,0,0,4464919358,4346416219,410747876.4,1020000,9788495.32,4766952591,-302033232.9,-5805869.46,143620787.9,1422601302,1566222090,-5817272733,0,4698722380,265231057.3,23769324.47,1463894.28,0,0,-3943102.92,89086.64,35915000,0,0,-155768757.6,-7674169.74,-5387250,430481885.3,941584361.6,-154424606.3,0,0,0,678432183.8,0,0,0,1566222090,1422601302,0,0,143620787.9
600550,2012/12/31,1357669936,151360000,0,2412590488,166003548,2246586940,0,983391157.5,37816163.59,0,0,37816163.59,0,1933641517,0,0,0,0,1.70E+08,7046469262,0,0,0,0,2055196084,66148795.42,0,2005804995,0,0,3453803532,2324.62,0,0,0,0,529875728.9,12896919.92,13052774.93,13617,40307785,0,8177102557,15223571819,2358971780,0,1952986865,661830796.9,1291156068,796633959.7,0,31725501.27,-411576847.4,108399818.8,42597260.31,612462.16,65190096.29,0,0,0,3.33E+08,11850964,5181992041,2494430000,1583848019,0,0,0,0,0,0,16516500,0,104393305.7,4199187825,9381179866,1372990906,3256555730,0,0,16183953.99,325620954.5,0,372041712.1,5342915996,499475957.6,5842391953,15223571819,2829670982,2829670982,4184807749,2716546735,19327785.42,138605674.5,473825954,478666269.9,0,357835330.1,28600000,-405973351.1,-421370250.2,0,-1732510118,50518069.34,1292572.84,491345.3,-1683284622,15538051.74,-1698822673,-1524634465,-174188208.9,-1.11,-1.11,1716974.56,-1697105699,-1523074001,-174031698.3,2883229852,52788868.54,162735113,3098753834,2004977992,375503336.5,223492512.5,329332918.3,2933306760,165447074.5,146918633,7956184.92,197403.9,0,0,155072221.8,163149940.8,243629458.5,0,0,406779399.3,-251707177.5,25269889.29,25269889.29,3288770000,0,0,3314039889,3161137501,514806232.6,3120000,18224108.75,3694167842,-380127952.6,-560383.34,-466948438.9,1808553080,1341604642,-1698822673,0,357835330.1,240273457.9,18851528.23,46802.33,0,0,-662958.93,0,-28600000,0,0,405973351.1,-4822078.12,4290000,-109979485.5,1213397275,-686385263.5,0,0,0,165447074.5,0,0,0,1341604642,1808553080,0,0,-466948438.9
