"dljg","zjlsh","bsh","jym","jdbz","fse","ye","lxjs","jyrq","mxbs","czzy","czy","fhy","sqr"
"11005","320224084","100224084","4103","1","1500","240.51","1006.0","20190923","166","取","1204","1124","1024"
"11005","320224085","100224085","4103","1","200","1740.51","1005.0","20170316","165","取","1004","1204","1207"
"11005","320224086","100224086","4103","1","500","1940.51","1006.0","20150912","164","取","9991","9992","9982"
"11005","320224087","100224087","4102","2","1407","2440.51","1001.0","20150728","163","存","8067","8055","8036"
"11005","320224088","100224088","4102","2","1000","1033.51","1001.0","42852","162","存","7184","1704","4805"
"11005","320224089","100224089","4103","1","100","33.51","1006.0","43712","161","取","6678","1728","6016"
"11005","320224090","100224090","4103","1","1500","133.51","1001.0","42019","160","取","8631","6645","6364"
"11005","320224091","100224091","4103","1","300","1633.51","1006.0","43040","159","取","4022","9552","3642"
"11005","320224092","100224092","4103","1","500","1933.51","1006.0","43054","158","取","8470","2067","6157"
"11005","320224093","100224093","4102","2","990","2433.51","1001.0","42836","157","存","3108","9957","1688"
"11005","320224094","100224094","4102","2","101407","1443.51","1001.0","43283","156","存","3261","5423","3261"
"11005","320224095","100224095","4103","1","1.19","36.51","0.0","42014","155","税","5777","2716","5491"
"11005","320224096","100224096","4102","2","5.96","37.7","0.0","42006","154","息","2655","3956","9957"
"11005","320224097","100224097","4103","1","100","31.74","1001.0","43285","153","取","2003","1024","2085"
"11005","320224098","100224098","4103","1","300","131.74","1006.0","42405","152","取","6595","7237","4137"
"11005","320224099","100224099","4103","1","650","431.74","1006.0","43027","151","取","2178","3309","3311"
"11005","320224100","100224100","4103","1","200","1081.74","1006.0","43298","150","取","1392","4376","1530"
"11005","320224101","100224101","4103","1","300","1281.74","1006.0","43293","149","取","8380","1032","3703"
"11005","320224102","100224102","4102","2","870.76","1581.74","1001.0","42236","148","存","6803","4768","7933"
"11005","320224103","100224103","4102","2","700","710.98","1001.0","42813","147","存","2003","7301","5411"
"11005","320224104","100224104","4103","1","490","10.98","1001.0","43057","146","取","5965","4275","5860"
"11005","320224105","100224105","4103","1","100","500.98","1005.0","43286","145","取","3585","3776","6478"
"11005","320224106","100224106","4103","1","100","600.98","1006.0","43289","144","取","2068","2014","7743"
"11005","320224107","100224107","4103","1","200","700.98","1006.0","42240","143","取","4163","4595","7189"
