stkcd,year,SOE,ROA,SIZE,LEV
1,2019,0,.0092125806345153,26.73849912159346,.9205439354974652
1,2020,0,.0082597928528365,26.73849912159346,.9185118363733447
2,2019,1,.0442868557580604,26.73849912159346,.8435895086067219
2,2020,1,.0427774566467283,26.73849912159346,.8128350307388363
4,2019,0,.004884958199405,21.12505102661252,.0602434295383638
4,2020,0,.0401050878213229,21.17023294566867,.0682637132405768
5,2019,0,.0660553225953699,21.83243585491439,.425337437591049
5,2020,0,-.1568926868700811,21.62049415133358,.4594249916360399
6,2019,1,.0703973201831731,23.4798090692308,.5446121032519958
6,2020,1,.0703958989320976,23.45988794721116,.4921852911371428
7,2019,0,.0764301497889503,20.095332113872,.6012610560101671
7,2020,,-.3312964090497263,19.71374631967547,.8139322247233168
8,2019,1,.0456635375523954,23.21187754310836,.3709615835725218
8,2020,1,-.0667889308245847,23.27492033431901,.4801670894352055
9,2019,1,.038001248784042,24.13143239723557,.6455591121139688
9,2020,,.0441508019387772,24.18451090973225,.5842173072839111
10,2019,0,.0460790679319588,22.17993944941409,.8243732730012927
10,2020,0,.0345364007146376,21.98788128530097,.7695267078049457
11,2019,1,.0915208301632445,23.10026166073594,.6967677135550733
11,2020,1,.0841831387369647,23.22530463255677,.6902587917335451
12,2019,0,.0364655939571955,23.62475533855856,.4579568359959857
12,2020,0,.0621753046604472,23.60711161901976,.4063672535182021
14,2019,1,.0153212592544261,21.40249948961126,.5153417963390649
14,2020,1,.0044786374262467,21.61267397588992,.6080957881129544
16,2019,1,.0071211047469662,24.47481383328926,.7669075499438908
16,2020,1,.0088284640962039,24.63281112523924,.7850501718875911
17,2019,,-.1274635573463666,18.95133017902545,.8176163551996029
17,2020,,.0426377724416472,18.95133017902545,.7204979783933381
19,2019,1,.0639955206429982,22.63651513367911,.3175804840398254
19,2020,1,.0623131905933536,22.71242485926985,.343960406644108
20,2019,0,.0128636676818695,20.23577238837257,.4636154128155467
20,2020,0,.0139176055368719,20.257699740966,.4643841150462209
21,2019,1,.0296096810700088,23.63851232897789,.6151319052429118
21,2020,1,.0518410857744267,23.79756096189026,.6297613315128697
23,2019,0,.041234582046511,21.64728822175187,.7678416542264981
23,2020,0,.0189464250796509,21.56831070921511,.7396875669897501
25,2019,1,.1843134191912041,21.22148157566033,.1862756552269483
25,2020,1,.0430256029077017,21.25884785730755,.1895271494518976
26,2019,1,.0725565788676155,22.04793031882429,.2941787225078041
26,2020,1,.0925431464765675,22.11422746445892,.3032692605011081
27,2019,1,.0233775219385763,25.28878051577481,.6505656282005732
27,2020,1,.0227951359329054,25.46001031347804,.633063486664836
28,2019,1,.0547587742957767,24.23542628434238,.5417792742500042
28,2020,1,.0546499971161253,24.40195690203274,.573460631084026
29,2019,1,.1488622530900627,22.31447247222915,.2820324854374511
29,2020,1,.0752339872462429,22.32000683295355,.2592365958824627
30,2019,1,.0726980413485175,23.28208868676764,.4231168720476147
30,2020,1,.063947070709087,23.3947549963907,.4278122944577106
31,2019,1,.0327495334234459,25.93374912299966,.7677669810687114
31,2020,1,.0153056873479868,26.02093993646742,.7716218132440744
32,2019,1,.0846931039657643,21.57438188355163,.2920259091927091
32,2020,1,.0879283781351652,21.67328830898269,.3009582120534777
34,2019,0,.0312788464422989,24.10497122610234,.8513007172882072
34,2020,0,.0298719993631984,24.14718977727357,.846762777761216
35,2019,0,.0192322192547571,24.57971082486297,.7525528872677132
35,2020,0,.0224485127454554,24.64281807381993,.7519837561718643
36,2019,0,.0997090923020322,23.21993618131894,.5349944656807708
36,2020,0,.091512986314043,23.10692146018182,.4628184958841638
37,2019,1,.0072814415213173,21.89241789088191,.3593275413632321
37,2020,1,.020806988767409,21.82879777289243,.3088846844041904
38,2019,0,.0336123893382737,21.79387782997,.0559557446358076
38,2020,0,.0203128853924208,21.89837539909434,.1020166881452387
39,2019,1,.0339249962237269,25.87138524054546,.680211662568773
39,2020,1,.05088263536241,25.70832011577281,.6316716540874815
40,2019,0,-.0252607755383593,24.15684109177033,.5636732973291492
40,2020,0,-.0372184626593891,23.98906985842564,.5345540877925022
42,2019,0,.0289077139980869,24.53306843552994,.8224966657397993
42,2020,0,.0138342899521046,24.51749035368935,.8155685140945281
45,2019,1,.0010922514994323,22.23429675430763,.1493543568958578
45,2020,1,.0101405861379446,22.32659463714233,.2153580967606903
46,2019,0,.0138223323343366,25.90433155927894,.8138721206544774
46,2020,0,-.0238395776158801,25.92171221621088,.8067286434852573
48,2019,0,.2358090986698057,22.59075002788413,.63261181851384
48,2020,0,.119123233024476,23.01617970485882,.719174331170966
49,2019,1,.0958972265422303,22.89462036298765,.6737512958030035
49,2020,1,.1000782573648761,22.92484657057719,.6877706542921377
50,2019,1,.0153325729101486,24.90456773687713,.5919509091701933
50,2020,1,.0219621576736196,25.02133738834637,.5436468143254305
55,2019,0,.036776014344097,23.1542410294982,.5399101683728033
55,2020,0,.0422977116374686,23.19701524643344,.5409571484226817
56,2019,0,.0094026491795318,23.24554531287611,.5540707607140307
56,2020,0,-.0278019195948749,23.18769419556109,.5888724588383757
58,2019,1,.0317202842805125,22.54629767095144,.5944516638390518
58,2020,1,.0118901357718601,22.48645042259151,.5744476837033021
59,2019,1,.0411686826717273,24.10287186908039,.5181703227003795
59,2020,1,.0114699591946588,24.05188006734236,.4941894293068081
60,2019,1,.0511674897709063,23.7349010678291,.4407729853705163
60,2020,1,.0360689183340948,23.91572921228676,.472590178453186
61,2019,1,.0317681069641561,23.69882561094091,.6495139726575283
61,2020,1,.0333313549500183,23.68880608597224,.6344509078855186
62,2019,0,.078841670933216,23.15252528778117,.4968245614206607
62,2020,0,.072151107692029,23.22805333668435,.5015901178475999
63,2019,0,.0534848995024048,25.67345828228784,.7312059197971759
63,2020,0,.036317744308215,25.73812490500395,.6938126279973913
65,2019,1,.058010713820439,23.41424476386106,.6301367635149212
65,2020,1,.0495632821622161,23.61814884914366,.6555966929761918
66,2019,1,.0621603768992153,23.79922753841171,.6008094476840553
66,2020,1,.0379997438461356,24.03855185453047,.6604812387831491
68,2019,1,-.0110194388866475,22.05465285456354,.7471294167942732
68,2020,1,-.0477389654988854,22.03532752946022,.7904409235965535
69,2019,1,.0506578663723568,26.66243650867676,.7497672327912595
69,2020,1,.0476542361850582,26.73849912159346,.7582602646029916
70,2019,1,.0608171732319473,22.68192040854177,.5930997150898824
70,2020,1,.0168882340455125,23.03437720589771,.7050363298162835
78,2019,0,.0225570187598242,24.44093398418839,.8093021579278291
78,2020,0,.0079702070897912,24.40513342847913,.8114375679135278
88,2019,1,.0396316543169042,23.12272475802755,.257484840683109
88,2020,1,.0319966249493511,23.29665932322175,.2491999346711135
89,2019,1,.0609967826895876,23.36388013173068,.1385547293813778
89,2020,1,.0038910665688509,23.43913119763653,.2102352576619852
90,2019,1,.0446646118992401,24.41994905702807,.7603640571592528
90,2020,1,.0447551031732785,24.61505824147189,.7747429223891358
96,2019,1,.0509956788455469,21.80395443813962,.0714295342473351
96,2020,1,.048855456930524,21.84696185921279,.0702304527407634
99,2019,1,.0436635189877367,22.49169568472913,.4214804970895746
99,2020,1,.0494722471337622,22.43029279314806,.3476927160594417
100,2019,,.0241247339885614,25.82827077777531,.6124651122781274
100,2020,,.0207822099421632,26.27586985090823,.6508174636766895
150,2019,0,-.2282838694126305,22.50697224743951,.8467536586958511
150,2020,0,-.0938250047757478,22.35119124284757,.9459104590841793
151,2019,1,.0037946385019464,21.59562379558728,.6037395501614099
